"site","date","amplitude_ratio","phase_lag","mean_offset","mean_ratio","R2_water","R2_air"
"Crane Creek",2023-05-17,0.486510226928008,3.58326014172031,0.928749999999999,1.10629470672389,0.959473684567868,0.917343621994347
"Crane Creek",2023-05-18,0.627626895068258,2.97260102694028,1.99208334267595,1.24049295887436,0.981676523136119,0.773490240742257
"Crane Creek",2023-05-19,0.469574859335346,2.94928920236507,3.05500000237541,1.40330033043751,0.982431409091237,0.905910413180452
"Crane Creek",2023-05-20,0.49972010514627,3.47331286868737,1.47958333691104,1.15838537064565,0.982959159492884,0.874586989570764
"Crane Creek",2023-05-21,0.414833164510333,2.36637705610873,0.337500000632772,1.03219395872698,0.973241784185737,0.91637787544718
"Crane Creek",2023-05-22,0.561482968408639,3.32743249384314,2.20833333843314,1.2503542753664,0.9700149540138,0.826207359734011
"Crane Creek",2023-05-23,0.563121428884542,2.04638091171095,1.26291666407917,1.13375992907689,0.920102706902299,0.741727986040034
"Crane Creek",2023-05-24,0.247297132545507,2.31032980504459,0.938750008780607,1.10632373860658,0.926562044162497,0.783558378434828
"Crane Creek",2023-05-25,0.273999848290154,2.3906366075332,1.12333333197514,1.1281368819557,0.960497049069017,0.969245957203788
"Crane Creek",2023-05-26,0.223313957649823,3.37893954661443,-0.299583321946331,0.968928263929508,0.975461490385825,0.883315988750063
"Crane Creek",2023-05-27,0.259698866428514,2.02195918246816,0.890416666666667,1.10496070726916,0.937845636668874,0.896085189108821
"Crane Creek",2023-05-28,0.264148560203747,2.87435226212956,1.48916667824755,1.18790746732397,0.930511546813838,0.984319949659689
"Crane Creek",2023-05-29,0.443871443960817,2.64793725148028,1.14625000033465,1.1223210316088,0.954085542270393,0.965848398268546
"Crane Creek",2023-05-30,0.365782484733082,3.12823187939001,0.327500008327309,1.03389392065483,0.927183621080739,0.911920094746082
"Crane Creek",2023-05-31,0.350247505670354,1.60727723247651,-0.600416666666666,0.946029962546817,0.952682688548859,0.973297968780963
"Crane Creek",2023-06-01,0.301241440662187,2.40788170163516,-1.65708333165294,0.85902162366056,0.961634283303883,0.938298572486288
"Crane Creek",2023-06-02,0.384081731919786,2.72654500927754,-0.0862499921522879,0.991484986377211,0.914595821251245,0.927277271763019
"Crane Creek",2023-06-03,0.225232636346887,2.38507690832584,0.648333345403048,1.06980708969107,0.932531594630122,0.930312838613018
"Crane Creek",2023-06-04,0.468288209948889,1.10909844184955,-1.28749999906968,0.89311656872836,0.940285454250063,0.88013738195384
"Crane Creek",2023-06-05,0.39377231789067,1.88492768864945,-1.61250000219254,0.875602699948471,0.972396533288969,0.964359620199738
"Crane Creek",2023-06-06,0.373175164086056,1.47056021620841,-2.26749999927536,0.828867924582992,0.843463187169253,0.845004607680591
"Crane Creek",2023-06-07,0.467447885730397,1.32794491600321,-2.48874999722245,0.814098973091406,0.897320065558703,0.862232908402256
"Crane Creek",2023-06-08,0.384315125718436,1.41433230875867,-2.53708333333334,0.81025241508258,0.94926015783191,0.865554953011041
"Crane Creek",2023-06-09,0.410187798379357,1.85656619338607,-1.32750000094172,0.896289062435147,0.931228480796278,0.959578492878577
"Crane Creek",2023-06-10,0.433426640359834,1.78932453551417,-1.82291665256579,0.862723565514565,0.922948529005036,0.929342447318843
"Crane Creek",2023-06-11,0.522005174465802,1.6243816613601,-1.03708333370881,0.917171381004571,0.927254066926327,0.857277644689946
"Crane Creek",2023-06-12,0.384730032802822,2.20134636113926,-0.19583332974471,0.983050847762954,0.923779597958276,0.856957150712192
"Crane Creek",2023-06-13,0.43196901758152,1.72415843792927,-0.627083333333333,0.947597493036212,0.905405718467697,0.930073886841677
"Crane Creek",2023-06-14,0.408344620273305,2.86709360024203,-0.57166665732994,0.951808922458188,0.914523575351432,0.86785130867591
"Crane Creek",2023-06-15,0.340063980458382,2.59937120439591,0.446250009352957,1.0438754617944,0.94885253309493,0.96233600380784
"Crane Creek",2023-06-16,0.43317551229872,1.21972153649869,1.07541666556317,1.10569205557707,0.922632560652579,0.952090203332821
"Crane Creek",2023-06-17,0.234645794296677,2.50901252718306,-0.177083325713214,0.983501553506948,0.983835424658208,0.96566933320452
"Crane Creek",2023-06-18,0.291304962688487,3.97343521579642,-1.00666666188138,0.913775874785321,0.901723192438845,0.84637802371396
"Crane Creek",2023-06-19,0.209443913371536,2.34206336500839,-1.08416666673704,0.902437195344248,0.902899478359275,0.850588601657847
"Crane Creek",2023-06-20,0.435752161219178,1.54166506618183,1.58333334041953,1.18304431679533,0.944306700100047,0.688261424890494
"Crane Creek",2023-06-21,0.428998236679077,2.37170634998539,2.15666666666667,1.24007421150278,0.948976952393501,0.96992190424021
"Crystal Creek 1",2020-08-06,0.347949209678805,1.39984770951116,-7.14932916668419,0.603640794639823,0.967072012314894,0.962324011533576
"Crystal Creek 1",2020-08-07,0.604088076975941,2.37376640608709,-6.94601250082121,0.60968321233431,0.941069627954479,0.937587923116168
"Crystal Creek 1",2020-08-08,0.529113340691785,1.78353036631282,-6.73443749988201,0.607797864600149,0.943075911784916,0.96427344965896
"Crystal Creek 1",2020-08-09,0.691667828213935,1.7440210403453,-6.60195833613775,0.616814993843132,0.948386844274405,0.88473766428812
"Crystal Creek 1",2020-08-10,0.518209425525739,1.88262501855864,-6.05512916666666,0.639307272275999,0.946334547641152,0.945881208631296
"Crystal Creek 1",2020-08-11,0.503647000578698,1.64992880639891,-6.57284999943134,0.61599707888552,0.94849014973204,0.959040149052494
"Crystal Creek 1",2020-08-12,0.682002711044515,2.15974944065352,-7.22109582497864,0.584098152593661,0.948013802304832,0.872688837465484
"Crystal Creek 1",2020-08-13,0.676681288494065,1.81757301455085,-7.23030833333334,0.594087953216374,0.929808394991713,0.939935634112196
"Crystal Creek 1",2020-08-14,0.632887798310461,1.54375472320886,-5.07750000124432,0.679146919393838,0.936934398516434,0.823555295185593
"Crystal Creek 1",2020-08-15,0.45233594948738,1.77111078338189,-5.82732083398168,0.642404244413204,0.951992113043566,0.968264606467987
"Crystal Creek 1",2020-08-16,0.395029453850843,1.71833811286141,-6.9948750007848,0.603315217346798,0.951540315897138,0.965765297555705
"Crystal Creek 1",2020-08-17,0.420629863469436,1.42640131623881,-8.93310833216058,0.551663320826746,0.96398187165007,0.951994236789671
"Crystal Creek 1",2020-08-18,0.450201129930447,2.16433291157104,-8.85301250001821,0.558177791639765,0.961067436081819,0.921066194135845
"Crystal Creek 1",2020-08-19,0.518674977104283,1.67481360546894,-8.03910833306273,0.591837106000623,0.938777392623699,0.958116996442732
"Crystal Creek 1",2020-08-20,0.363978981122112,2.34423068418917,-7.59077082207896,0.582159404289232,0.937809676013536,0.906737364216465
"Crystal Creek 1",2020-08-21,0.392852909255298,2.24405392717184,-8.43420833368138,0.542137525436489,0.940049084979147,0.900140692558105
"Crystal Creek 1",2020-08-22,0.408928117926709,2.09162289139918,-8.67967083378703,0.539540008817664,0.950224054269743,0.938832237565472
"Crystal Creek 1",2020-08-23,0.406546509229949,2.0890517310462,-9.06962083294495,0.532192349032798,0.945556022495206,0.942774691054667
"Crystal Creek 1",2020-08-24,0.373112665994033,2.35905929010546,-8.19542916866856,0.558098629446509,0.904912755930623,0.928946922139954
"Crystal Creek 1",2020-08-25,0.482157214349864,2.03240924019249,-7.30209583322139,0.600614630817426,0.957494153119883,0.955850051202834
"Crystal Creek 1",2020-08-26,0.46392404837616,2.09232930065718,-6.37591250017532,0.634705418948029,0.937516398399779,0.926180312456969
